f1-score=0.69,
1,0
2,1
3,1
7,1
18,1
19,1
24,0
30,0
31,1
40,1
41,1
42,0
43,0
44,1
45,1
46,1
47,1
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,0
68,0
69,0
78,0
79,1
80,0
81,0
83,1
84,0
85,1
86,0
87,0
90,1
91,1
92,0
93,1
94,1
96,1
97,1
118,0
119,_1
124,0
130,1
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,0
150,1
152,1
153,0
154,1
155,0
156,0
157,0
168,0
169,1
178,1
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,1
190,0
191,1
192,0
194,1
195,1
197,0
208,0
209,1
218,0
219,1
221,1
223,0
224,1
225,1
226,1
230,0
231,1
232,0
233,0
234,1
235,0
236,1
237,1
246,0
247,1
252,1
284,1
285,0
290,1
291,0
332,0
342,0
343,0
344,1
345,1
346,1
347,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,0
369,0
378,1
379,0
380,1
381,1
382,1
383,1
384,0
385,0
390,1
391,1
392,1
394,1
395,1
396,1
397,1
408,1
409,1
418,0
419,1
420,1
422,0
423,1
424,1
425,1
426,1
430,1
431,1
433,1
434,1
435,1
436,0
437,1
454,0
468,0
483,1
497,0
508,1
509,1
520,0
521,1
534,0
535,0
541,1
543,1
544,1
545,0
546,1
547,1
550,0
551,1
552,1
553,0
554,1
555,1
556,0
557,0
568,0
569,1
578,1
579,1
580,1
581,1
582,1
583,1
584,0
585,0
587,0
590,0
591,0
592,0
593,0
597,1
608,1
609,1
618,1
619,0
620,1
621,1
622,1
624,1
626,1
627,0
630,0
631,1
633,1
635,1
636,0
637,0
642,1
656,0
680,1
681,1
694,0
722,1
723,0
736,1
737,0
740,1
742,0
743,0
744,1
745,0
746,0
747,0
750,0
751,0
752,1
753,0
755,0
756,1
757,1
768,0
769,1
780,1
781,0
782,1
783,1
784,1
786,0
787,1
790,1
791,1
792,1
794,1
795,1
796,1
800,1
801,0
802,1
803,0
804,1
806,1
807,1
811,0
812,1
814,1
815,1
817,1
828,1
829,1
838,1
839,0
858,1
859,1
864,1
870,0
871,1
904,1
905,0
910,1
911,0
938,0
948,0
958,0
959,1
960,0
961,1
962,1
963,1
964,1
965,0
966,1
967,1
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
988,0
998,1
999,0
1000,1
1001,0
1002,0
1003,1
1004,1
1005,0
1006,1
1007,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,0
1017,1
1028,0
1038,0
1039,1
1062,1
1063,0
1076,1
1077,0
1088,1
1089,1
1103,0
1117,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,0
1165,1
1166,0
1170,0
1171,1
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1188,1
1189,1
1198,0
1199,0
1200,1
1201,0
1202,1
1203,1
1204,1
1206,0
1207,1
1210,0
1211,0
1212,1
1213,1
1214,0
1215,0
1216,0
1217,1
1228,0
1238,0
1249,1
1260,1
1261,1
1274,1
1275,0
1301,0
1314,0
1315,1
1329,0
1348,1
1349,0
1358,0
1359,1
1360,1
1361,0
1362,1
1363,0
1364,0
1365,1
1366,1
1367,0
1371,1
1372,0
1373,0
1374,0
1375,0
1376,1
1377,0
1388,0
1389,0
1398,1
1401,0
1402,0
1404,1
1405,1
