f1-score= 0.6,
3980,_1
3982,4
3983,2
3984,1
3985,4
3987,3
3988,4
3990,1
3992,1
3993,3
3994,1
3995,2
3996,2
3997,1
3998,5
3999,3
4000,5
4002,2
4006,5
4007,3
4010,3
4011,2
4013,1
4017,4
4018,3
4019,5
4022,2
4024,1
4025,4
4027,1
4028,1
4029,1
4030,1
4031,4
4032,4
4034,1
4035,5
4037,3
4039,4
4041,5
4043,2
4044,3
4047,4
4048,2
4050,4
4052,4
4053,2
4055,5
4056,4
4057,1
4058,4
4059,3
4060,3
4061,2
4062,3
4063,1
4065,4
4066,4
4067,4
4068,5
4069,5
4070,1
4071,4
4072,1
4073,5
4074,3
4075,4
4076,4
4077,1
4078,5
4079,1
4081,3
4083,4
4084,2
4085,4
4086,3
4088,1
4089,2
4090,2
4091,3
4092,4
4093,2
4094,4
4096,4
4097,2
4098,1
4100,5
4102,1
4103,1
4104,2
4105,4
4108,4
4109,3
4110,4
4111,1
4112,4
4113,3
4114,1
4115,4
4116,5
4117,1
4118,5
4119,4
4120,4
4121,4
4122,1
4123,2
4124,1
4126,4
4127,5
4128,1
4129,3
4130,5
4131,3
4132,1
4133,1
4134,2
4135,4
4136,2
4137,1
4138,2
4140,2
4141,2
4142,3
4143,1
4144,5
4145,1
4147,5
4150,2
4152,2
4153,4
4155,3
4156,1
4157,1
4158,5
4159,3
4160,3
4161,1
4162,4
4164,4
4165,3
4166,1
4168,1
4169,4
4170,2
4172,5
4173,2
4174,3
4175,2
4177,2
4178,5
4180,2
4181,2
4182,2
4184,3
4185,3
4187,2
4188,3
4189,1
4190,3
4191,2
4193,1
4194,2
4195,2
4196,1
4198,3
4200,4
4201,1
4202,2
4203,2
4204,2
4205,1
4206,2
4207,1
4208,1
4209,4
4212,3
4213,1
4214,3
4215,1
4217,3
4218,4
4219,1
4220,2
4221,2
4222,5
4223,2
4224,2
4226,3
4227,3
4228,2
4230,5
4231,1
4232,3
4233,3
4235,1
4236,1
4238,4
4239,2
4240,1
4241,1
4242,2
4244,4
4247,1
4248,3
4249,3
4250,1
4251,3
4252,5
4253,5
4255,5
4256,1
4257,5
4258,1
4261,5
4263,2
4264,1
4265,2
4266,4
4268,2
4269,5
4270,2
4272,2
4273,1
4274,1
4275,2
4277,1
4278,3
4279,3
4281,5
4282,1
4284,4
4285,1
4286,1
4287,1
4288,4
4289,2
4290,1
4291,1
4292,5
4295,3
4296,2
4298,2
4299,4
4300,1
4301,5
4303,2
4304,1
4306,5
4307,1
4308,4
4310,1
4312,1
4314,1
4315,5
4316,4
4317,4
4318,1
4321,1
4322,3
4324,5
4326,2
4327,1
4328,4
4329,3
4334,2
4337,3
4338,3
4339,3
4340,5
4341,5
4344,3
4345,3
4348,1
4349,1
4351,2
4352,4
4355,1
4356,5
4357,1
4359,1
4360,4
4361,3
4362,5
4364,1
4365,1
4366,5
4368,2
4371,1
4372,1
4373,4
4374,1
4376,1
4378,4
4379,1
4381,4
4384,5
4385,5
4386,1
4387,1
4388,3
4389,1
4390,5
4391,4
4393,1
4395,5
4396,3
4398,4
4399,1
4400,2
4401,1
4402,4
4403,5
4404,1
4407,5
4409,4
4410,1
4411,2
4414,1
4415,4
4416,4
4417,3
4418,4
4419,4
4420,3
4422,2
4423,1
4424,5
4426,5
4429,4
4430,3
4431,4
4432,3
4433,5
4434,4
4436,3
4437,1
4439,2
4440,5
4441,2
4442,1
4443,4
4444,1
4445,5
4446,3
4448,4
4450,4
4451,3
4452,3
4453,4
4454,4
4456,4
4457,2
4458,3
4459,4
4460,1
4461,4
4463,3
4464,1
4465,3
4466,4
4467,4
4468,5
4469,1
4470,4
4471,2
4472,1
4474,1
4475,2
4476,4
4477,4
4478,2
4479,3
4481,4
4482,4
4483,3
4484,4
4485,4
4486,4
4487,5
4488,2
4489,5
4490,2
4491,1
4492,4
4493,4
4494,2
4496,4
4497,4
4498,1
4499,1
4500,1
4501,4
4503,3
4504,1
4505,1
4509,4
4510,5
4512,1
4514,4
4515,4
4516,3
4517,5
4518,2
4521,2
4523,4
4525,1
4526,5
4527,4
4528,1
4529,1
4530,1
4532,1
4533,3
4535,1
4536,2
4537,4
4538,4
4539,3
4540,3
4543,1
4544,1
4546,3
4547,5
4550,3
4551,1
4552,3
4554,4
4555,3
4556,2
4557,2
4558,2
4559,4
4560,1
4561,2
4564,2
4566,5
4568,5
4569,4
4570,1
4571,4
4573,4
4574,4
4575,1
4576,1
4578,4
4579,4
4580,3
4581,1
4582,1
4583,1
4585,3
4586,2
4587,4
4588,3
4589,1
4590,2
4593,5
4594,3
4596,3
4598,2
4599,4
4600,4
4601,5
4602,5
4603,1
4605,3
4607,5
4608,4
4609,1
4610,2
4611,4
4612,2
4613,2
4614,4
4616,4
4617,2
4618,1
4619,1
4621,1
4625,3
4627,5
4628,2
4631,4
4633,1
4634,4
4636,5
4637,2
4638,3
4639,1
4640,4
4641,4
4644,1
4646,1
4648,3
4649,1
4651,2
4652,3
4653,1
4655,1
4657,1
4658,3
4659,1
4660,4
4661,4
4664,1
4668,5
4671,3
4672,4
4673,3
4675,2
4677,4
4678,4
4679,4
4680,4
4681,1
4682,4
4683,3
4684,1
4685,4
4686,5
4687,5
4688,1
4689,1
4690,4
4691,1
4692,2
4693,1
4694,2
4695,4
4696,4
4697,3
4698,1
4699,3
4700,3
4701,5
4702,4
4704,5
4706,1
4709,5
4710,1
4711,2
4712,5
4713,3
4714,3
4717,4
4718,4
4719,4
4721,2
4722,2
4724,2
4725,3
4726,5
4727,3
4728,5
4730,3
4731,2
4732,3
4733,1
4734,3
4735,2
4737,3
4738,1
4739,3
4740,5
4741,3
4742,2
4743,5
4744,5
4745,5
4746,5
4747,1
4749,3
4751,5
4752,4
4753,5
4754,3
4756,1
4758,2
4760,2
4762,3
4763,1
4766,1
4767,4
4768,3
4770,3
4771,2
4772,4
4773,3
4774,3
4775,4
4776,4
4777,3
4779,3
4780,5
4781,2
4782,1
4783,2
4785,3
4786,4
4787,1
4788,1
4789,5
4790,2
4791,2
4792,3
4793,1
4795,1
4796,1
4797,3
4798,1
4799,4
4801,4
4802,2
4803,4
4805,1
4806,4
4807,1
4808,5
4809,5
4810,5
4811,4
4812,3
4813,1
4816,1
4817,3
4818,5
4819,2
4820,3
4821,3
4822,4
4823,3
4824,5
4825,3
4826,3
4827,1
4829,2
4831,2
4832,2
4834,4
4835,4
4837,4
4838,2
4839,4
4840,3
4841,1
4842,4
4843,1
4844,2
4846,1
4847,3
4848,4
4851,5
4853,4
4854,1
4855,2
4859,1
4860,2
4862,4
4864,4
4865,5
4867,4
4868,2
4869,3
4870,2
4871,5
4874,4
4877,4
4878,3
4879,5
4880,4
4882,1
4883,3
4885,4
4886,2
4887,4
4888,5
4889,5
4890,2
4892,3
4893,5
4894,5
4898,5
4899,4
4900,1
4901,2
4902,4
4903,5
4904,2
4905,1
4906,1
4909,3
4910,4
4914,1
4915,1
4916,4
4917,3
4918,5
4920,3
4921,1
4922,5
4923,3
4924,2
4925,4
4926,3
4927,3
4929,3
4933,5
4934,1
4935,1
4936,3
4937,1
4938,4
4939,3
4941,1
4942,1
4943,1
4944,1
4945,3
4946,2
4947,1
4948,5
4949,4
4950,2
4951,5
4952,3
4954,3
4955,1
4956,4
4957,5
4958,5
4959,3
4961,3
4962,4
4963,4
4964,5
4965,3
4966,4
4968,3
4969,5
4970,1
4971,3
4972,2
4973,4
4975,5
4978,1
4979,1
4981,3
4984,3
4985,3
4987,4
4988,5
4989,1
4993,1
4995,5
4996,3
4997,4
4998,4
4999,2
